,Chimeric.Count,Enriched1_HDFplusRT.Count,Enriched1_LonzaDCplusRT.Count
AAV.100002,1404.3391363122,149.525880763021,866.315744123085
AAV.100001,1313.64928365397,92.9485204743104,982.626654213684
AAV.100011,721.909274891414,88.9072804536882,512.369612554278
AAV.100005,386.898252012117,68.7010803505772,286.766554188892
AAV.100003,372.008873217482,187069.000554601,1724.61004617096
AAV.100006,283.34939039488,39434.4201212313,1094.92684326668
AAV.100271,174.386209215957,32.3299201649775,228.611099143592
AAV.100008,130.846056074069,28.2886801443553,155.415440207266
AAV.100605,122.950173379944,76.7835603918216,54.1447340076928
AAV.100048,117.310257169855,20.2062001031109,60.1608155641031
AAV.100089,91.141045955041,4.04124002062219,55.1474142670945
AAV.100225,87.0803062837768,2760.16693408496,108.289468015386
AAV.100078,76.9284571056163,44.4536402268441,61.1634958235048
AAV.100309,71.0629442471236,8.08248004124438,15.0402038910258
AAV.100132,67.4533978726665,0,21.0562854474361
AAV.100029,66.7766079274558,32.3299201649775,33.0884485602567
AAV.100041,65.648624685438,19498.9830995021,849.270179713256
AAV.100026,62.490271607788,16.1649600824888,62.1661760829066
AAV.101614,56.6247587492953,0,5.01340129700859
AAV.101724,52.3384224296275,3176.41465620904,162.434202023078
AAV.100215,51.8872291328204,4.04124002062219,37.0991695978636
AAV.101152,50.0824559455918,0,2.00536051880344
AAV.100457,49.8568592971883,32.3299201649775,21.0562854474361
AAV.100019,46.9241028679419,88.9072804536882,119.318950868805
AAV.100635,46.9241028679419,137.402160701154,3.00804077820516
AAV.100640,46.4729095711348,4.04124002062219,7.01876181581203
AAV.101468,43.0889598450813,4.04124002062219,40.1072103760687
AAV.100316,38.8026235254135,40.4124002062219,48.1286524512825
AAV.101379,35.6442704477636,12.1237200618666,28.0750472632481
AAV.100699,34.2906905573422,0,22.0589657068378
AAV.100762,27.7483877536387,0,4.01072103760687
AAV.100189,23.0108581371638,48.4948802474663,40.1072103760687
AAV.178090,20.5292950047246,0,1.00268025940172
AAV.100164,20.303698356321,12.1237200618666,31.0830880414533
AAV.100637,19.1757151143032,8.08248004124438,0
AAV.100573,18.4989251690925,8.08248004124438,22.0589657068378
AAV.154150,16.0173620366532,0,3.00804077820516
AAV.100580,16.0173620366532,12475.3079436607,101.270706199574
AAV.117339,14.8893787946354,0,0
AAV.100680,14.8893787946354,12.1237200618666,9.02412233461547
AAV.163220,14.4381854978283,0,0
AAV.175134,13.9869922010211,0,2.00536051880344
AAV.101381,13.7613955526176,0,1.00268025940172
AAV.100537,13.535798904214,88.9072804536882,24.0643262256412
AAV.101362,13.0846056074069,4.04124002062219,9.02412233461547
AAV.146425,13.0846056074069,0,0
AAV.126152,13.0846056074069,0,1.00268025940172
AAV.176231,12.8590089590033,0,1.00268025940172
AAV.131126,12.8590089590033,0,0
AAV.126623,12.8590089590033,137.402160701154,7.01876181581203
AAV.183435,12.6334123105997,0,0
AAV.130991,11.5054290685819,4538.31254315872,77.2063799739323
AAV.120035,11.0542357717748,0,0
AAV.159056,10.6030424749676,0,0
AAV.101727,10.3774458265641,0,1.00268025940172
AAV.152376,10.3774458265641,0,0
AAV.172658,9.92625252975694,0,0
AAV.100177,9.92625252975694,4307.96186198325,222.595017587182
AAV.177462,9.24946258454624,0,0
AAV.103197,9.24946258454624,0,0
