,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,0,660,1446,0,0,0,0,0,1260,0,0,0,0,60,60,0,0,360
AAV.100025_22,30,0,792,0,0,0,0,600,180,0,0,0,0,0,330,0,0,0
AAV.100037_50,90,600,0,0,0,600,510,126,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,60,0,360,0,0,0,0,0,0,1650,0,0,0,1260,1080,0,0,0
AAV.100085_4,30,60,0,0,0,510,330,0,0,318,0,0,0,0,870,0,0,0
AAV.100108_57,150,450,3450,0,0,0,3060,0,0,0,0,0,0,300,2700,0,0,150
AAV.100121_51,0,780,1260,0,0,0,1080,0,0,0,0,0,0,0,900,0,0,60
AAV.100129_31,0,120,0,1260,0,0,1380,0,0,0,0,0,0,0,1080,0,0,0
AAV.100145_83,30,60,0,0,0,0,1260,0,660,63,60,0,0,0,0,0,0,0
AAV.100172_36,60,0,510,0,0,510,0,0,0,0,0,0,0,561,540,0,0,0
AAV.100176_9,0,60,690,0,0,0,420,90,180,0,0,0,0,495,0,0,0,0
AAV.100231_16,0,0,156,0,0,0,0,0,630,0,0,0,0,0,540,600,0,0
AAV.100271_10,120,0,360,0,0,1200,0,0,360,0,0,0,0,1380,402,0,0,0
AAV.100277_65,60,0,2880,0,0,0,0,0,0,0,0,0,0,120,612,0,0,0
