,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,0,940,1500,6,0,0,0,0,1280,0,0,0,0,20,0,0,0,100
AAV.100025_22,0,0,832,0,0,0,0,600,170,0,0,0,0,0,330,0,0,0
AAV.100037_50,0,640,0,0,0,570,550,166,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,0,0,320,0,0,0,0,0,0,1610,0,0,0,1360,1120,0,0,0
AAV.100085_4,0,0,0,0,0,480,400,0,0,358,0,0,0,0,880,0,0,0
AAV.100108_57,0,450,3800,0,0,0,3060,0,0,0,0,0,0,0,2800,0,0,150
AAV.100121_51,0,660,1180,0,0,0,1220,0,0,0,0,0,0,0,720,0,0,300
AAV.100129_31,0,0,0,1220,0,0,1520,0,0,0,0,0,0,0,860,0,0,240
AAV.100145_83,0,0,0,0,0,0,1350,0,690,63,0,0,0,0,0,0,0,30
AAV.100172_36,0,0,530,0,0,510,0,0,0,0,0,0,0,581,530,0,0,30
AAV.100176_9,0,0,630,0,0,0,480,160,170,0,0,0,0,495,0,0,0,0
AAV.100231_16,0,0,176,0,0,0,0,0,610,0,0,0,0,0,430,590,0,120
AAV.100271_10,0,0,320,0,0,1300,0,0,400,0,0,0,0,1360,362,20,0,60
AAV.100277_65,0,0,3180,0,0,0,0,0,0,0,0,0,0,0,492,0,0,0
